City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Antofagasta,CL,69.6,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
5,Sao Joao Da Barra,BR,77.09,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
6,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
7,Hilo,US,73.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
8,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Atuona,PF,79.23,clear sky,-9.8,-139.0333,Villa Enata
11,Kalmunai,LK,72.66,scattered clouds,7.4167,81.8167,VS Villa
13,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
14,Punta Arenas,CL,62.71,clear sky,-53.15,-70.9167,Hotel Hain
15,Carutapera,BR,80.49,overcast clouds,-1.195,-46.02,Lidera
19,Butaritari,KI,81.39,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
20,Mar Del Plata,AR,69.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
23,Tual,ID,83.08,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
27,Bandundu,CD,72.61,overcast clouds,-3.3167,17.3667,Coja Color
28,Rikitea,PF,77.34,clear sky,-23.1203,-134.9692,People ThankYou
31,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Presidencia Roque Saenz Pena,AR,88.65,clear sky,-26.7852,-60.4388,Hotel Aconcagua
35,Ahipara,NZ,72.18,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
36,Port Alfred,ZA,62.82,overcast clouds,-33.5906,26.891,The Halyards Hotel
37,Njeru,UG,67.37,moderate rain,0.4186,33.1731,2 Friends Guesthouse and Restaurant
38,Bredasdorp,ZA,60.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
39,Hualmay,PE,71.78,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
40,Tarakan,ID,76.5,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
42,Sampit,ID,73.83,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
44,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
49,Sinnamary,GF,78.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
51,Ancud,CL,65.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
52,Portales,US,72.34,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
53,Batemans Bay,AU,71.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
54,Ponta Do Sol,PT,63.23,clear sky,32.6667,-17.1,Hotel do Campo
55,Castro,BR,65.43,clear sky,-24.7911,-50.0119,CHACARA BAILLY
56,Hermanus,ZA,66.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
59,Hobart,AU,66.25,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
60,Wanning,CN,69.42,overcast clouds,18.8003,110.3967,Paradise Hotel
61,Dicabisagan,PH,74.95,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
66,Uarini,BR,78.75,overcast clouds,-2.99,-65.1083,
67,Buritizeiro,BR,72.95,moderate rain,-17.3511,-44.9622,Santos Palace Hotel
68,Zaraza,VE,86.36,overcast clouds,9.3503,-65.3245,Hotel Zaraza
70,Portobelo,PA,85.86,broken clouds,9.55,-79.65,Scuba Portobelo
73,Basoko,CD,75.11,overcast clouds,1.2391,23.616,Jackyna Hotel
75,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Avarua,CK,80.65,moderate rain,-21.2078,-159.775,Paradise Inn
77,Lubango,AO,63.3,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
78,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
80,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
81,Bati,ET,62.33,few clouds,11.1833,40.0167,Adi 01 Kebele
89,Ritchie,ZA,67.17,overcast clouds,-29.038,24.6028,Riverside Country Club Modderrivier
90,Campestre,BR,64.92,light rain,-21.7111,-46.2464,O Precinho
91,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Ampanihy,MG,73.94,overcast clouds,-24.7,44.75,Angora Hotel
93,Port Elizabeth,ZA,60.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
95,Meulaboh,ID,74.91,broken clouds,4.1363,96.1285,Kost Pria
100,Mareeba,AU,86.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
101,Hithadhoo,MV,81.37,scattered clouds,-0.6,73.0833,Scoop Guest House
103,Xiamen,CN,62.26,overcast clouds,24.4798,118.0819,Xiamen Dongchen Hotel
108,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
110,Cape Town,ZA,67.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
111,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
112,San Felipe,VE,76.6,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
113,Chuy,UY,70.18,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
119,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
121,Port Blair,IN,75.16,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
