City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kieta,PG,2021-12-21 20:37:00,-6.2167,155.6333,82.02,78,73,1.07
1,Yakuplu,TR,2021-12-21 20:37:00,40.9889,28.6758,37.0,64,40,6.91
2,Zhezkazgan,KZ,2021-12-21 20:37:01,47.8043,67.7144,30.96,91,100,17.74
3,Hambantota,LK,2021-12-21 20:37:01,6.1241,81.1185,75.24,87,55,10.58
4,Georgetown,MY,2021-12-21 20:37:01,5.4112,100.3354,77.9,94,20,3.0
5,Kuytun,RU,2021-12-21 20:37:01,54.3419,101.5036,-27.36,97,14,3.29
6,Aksarka,RU,2021-12-21 20:33:16,66.5606,67.7975,-21.46,100,93,2.26
7,Puerto Ayora,EC,2021-12-21 20:37:02,-0.7393,-90.3518,78.76,81,75,9.6
8,Sibolga,ID,2021-12-21 20:37:02,1.7427,98.7792,74.95,89,100,3.27
9,Ancud,CL,2021-12-21 20:37:03,-41.8697,-73.8203,74.23,65,2,5.73
10,Rovaniemi,FI,2021-12-21 20:37:03,66.5,25.7167,11.61,79,90,12.66
11,Mujiayingzi,CN,2021-12-21 20:37:03,42.1167,118.7833,16.99,66,61,2.06
12,Buchanan,LR,2021-12-21 20:37:04,5.8808,-10.0467,78.76,79,90,7.83
13,Hasaki,JP,2021-12-21 20:37:04,35.7333,140.8333,37.8,63,0,6.08
14,Saldanha,ZA,2021-12-21 20:37:04,-33.0117,17.9442,66.25,89,83,14.0
15,Pampa,US,2021-12-21 20:37:05,35.5362,-100.9599,66.56,16,1,13.8
16,Atuona,PF,2021-12-21 20:37:05,-9.8,-139.0333,78.37,75,100,17.0
17,Ushuaia,AR,2021-12-21 20:37:05,-54.8,-68.3,56.82,62,40,39.12
18,Victoria,HK,2021-12-21 20:34:18,22.2855,114.1577,64.33,83,82,5.01
19,East London,ZA,2021-12-21 20:36:59,-33.0153,27.9116,71.31,88,55,14.56
20,Acari,PE,2021-12-21 20:37:06,-15.4311,-74.6158,77.0,59,98,10.33
21,Porbandar,IN,2021-12-21 20:37:06,21.6422,69.6093,68.58,57,33,7.02
22,Requena,ES,2021-12-21 20:37:07,39.4883,-1.1004,47.98,84,61,3.36
23,Carnarvon,AU,2021-12-21 20:32:52,-24.8667,113.6333,69.87,88,8,19.57
24,Urucara,BR,2021-12-21 20:37:07,-2.5364,-57.76,82.27,87,93,2.51
25,Portland,US,2021-12-21 20:35:43,45.5234,-122.6762,45.73,85,75,1.01
26,Horizontina,BR,2021-12-21 20:33:06,-27.6258,-54.3078,93.92,31,21,9.98
27,Chuy,UY,2021-12-21 20:37:08,-33.6971,-53.4616,73.98,57,65,8.37
28,Jijiga,ET,2021-12-21 20:37:08,9.35,42.8,63.36,68,86,7.34
29,Cape Town,ZA,2021-12-21 20:37:08,-33.9258,18.4232,74.12,73,0,1.99
30,Acarau,BR,2021-12-21 20:37:09,-2.8856,-40.12,81.64,73,100,15.14
31,Gijon,ES,2021-12-21 20:37:09,43.5357,-5.6615,60.26,84,63,5.77
32,Luau,AO,2021-12-21 20:37:09,-10.7073,22.2247,67.08,96,100,2.84
33,Meulaboh,ID,2021-12-21 20:37:10,4.1363,96.1285,75.31,90,36,4.18
34,Saint-Philippe,RE,2021-12-21 20:37:10,-21.3585,55.7679,78.39,89,91,13.29
35,Albany,US,2021-12-21 20:37:10,42.6001,-73.9662,39.15,72,89,2.91
36,Hobart,AU,2021-12-21 20:37:11,-42.8794,147.3294,55.26,53,75,1.99
37,Saint-Joseph,RE,2021-12-21 20:37:11,-21.3667,55.6167,77.38,87,92,11.83
38,Vila Franca Do Campo,PT,2021-12-21 20:37:11,37.7167,-25.4333,67.19,91,100,22.1
39,Porto Novo,BJ,2021-12-21 20:37:11,6.4965,2.6036,84.02,53,20,5.64
40,Biltine,TD,2021-12-21 20:37:12,14.5333,20.9167,70.47,21,2,16.37
41,Indramayu,ID,2021-12-21 20:37:12,-6.3264,108.32,78.1,85,100,5.21
42,Rikitea,PF,2021-12-21 20:34:20,-23.1203,-134.9692,73.94,86,100,14.38
